📊 *CSE Live Movements* — 2026-05-25 14:43 IST (3/3)

```
Ticker        Price     Change      Vol
────────────────────────────────────────
🟢 KZOO        10.40     +4.00%     2.1M
🟢 TPL        152.75     +4.09%    55.9K
🟢 CPRT        43.20     +4.10%    78.7K
🟢 SIL        480.00     +4.12%      261
🟢 HHL         32.30     +4.19%     1.3M
🟢 CCS        130.25     +4.20%   953.9K
🟢 EML          9.70     +4.30%   214.8K
🟢 CHL         50.80     +4.31%      312
🟢 VLL         19.00     +4.40%     4.4K
🟢 YORK        16.60     +4.40%   433.2K
🟢 KCAB       112.50     +4.41%    70.1K
🟢 CHOT        32.90     +4.44%    47.3K
🟢 SFIN        51.50     +4.46%    59.7K
🟢 NAMU        75.30     +4.58%    27.0K
🟢 LMF         93.20     +4.60%   651.6K
🟢 REEF         4.50     +4.65%     1.7M
🟢 LITE        45.00     +4.65%    27.0K
🟢 CDB         33.50     +4.69%   453.3K
🟢 APLA       145.00     +4.69%     6.8K
🟢 COCO        26.50     +4.74%    43.3K
🟢 MULL         2.20     +4.76%   910.9K
🟢 SDB         55.30     +4.93%    54.3K
🟢 AGST        12.60     +5.00%    30.7K
🟢 CLND        58.80     +5.00%   168.3K
🟢 SUN         31.50     +5.00%   297.1K
🟢 CINS     1,575.75     +5.01%      164
🟢 AFS         33.20     +5.06%    43.1K
🟢 JINS        47.40     +5.10%   107.7K
🟢 LVEF         8.20     +5.13%   373.7K
🟢 ASIR        38.90     +5.14%    97.1K
🟢 RIL         26.30     +5.20%     1.3M
🟢 CITW         2.00     +5.26%   230.4K
🟢 STAF        45.90     +5.28%     8.6K
🟢 AGST        13.90     +5.30%     2.8M
🟢 GLAS        55.00     +5.36%    81.9K
🟢 ASIY        13.70     +5.38%   629.9K
🟢 BFN         37.10     +5.70%     5.1K
🟢 LCBF         7.40     +5.71%     1.8M
🟢 HSIG        77.30     +5.75%      285
🟢 KPHL        23.70     +5.80%    76.8K
🟢 CALF       154.50     +6.19%     6.8K
🟢 EXT         13.70     +6.20%    97.3K
🟢 CIC         26.90     +6.32%     1.7M
🟢 MEL          6.60     +6.45%   109.4K
🟢 BPPL        20.40     +6.81%    33.5K
🟢 GEST       344.00     +6.83%     3.8K
🟢 DIAL        39.90     +6.97%     2.2M
🟢 LPRT       739.75     +7.02%      265
🟢 SDF         43.00     +7.50%   138.6K
🟢 COLO        44.40     +7.77%     9.2K
🟢 SHAW       305.00     +7.77%    79.2K
🟢 SINH        21.50     +8.04%    13.4K
🟢 SCAP        14.40     +8.27%     3.9M
🟢 KAHA        19.60     +8.29%    20.4K
🟢 MHDL        10.10     +8.60%    34.3K
🟢 UCAR     3,112.50     +8.61%     4.0K
🟢 SHL         14.30    +10.00%     1.4M
🟢 CITH         5.80    +11.54%     4.4M
🟢 ACME         6.10    +12.96%     6.7M
🟢 AMSL        21.40    +13.23%   728.8K
🟢 BRR         21.50    +14.97%      602
🟢 PARA       822.00    +17.43%      245
🟢 CWL         22.40    +24.44%   618.3K
────────────────────────────────────────
Showing 63 changed stocks | Sorted: Ascending
```
_Unchanged stocks hidden | Next update in 5 min_
