1:Changed stocks found: 252
2:Chunks: 3
4:--- Chunk 1/3 (3997 chars, 93 stocks) ---
5:? *CSE Live Movements* ? 2026-05-25 10:14 IST (1/3)
7:```
8:Ticker        Price     Change      Vol
9:????????????????????????????????????????
10:? HBS         24.90     -6.04%   141.8K
11:? ECL         15.70     -3.09%     1.0K
12:? TSML        40.80     -2.86%      170
13:? RHL         50.80     -2.31%     4.0K
14:? BALA        60.00     -1.64%    20.3K
15:? REXP       409.00     -1.33%      636
16:? SOY      2,415.00     -1.03%      151
17:? HUNT     1,550.00     -0.94%        3
18:? MCPL        52.00     -0.76%     1.0K
19:? LCEY        41.80     -0.48%     3.8K
20:? LFIN       163.00     -0.46%     9.2K
21:? ATLL        24.80     -0.40%      551
22:? RPBH        52.80     -0.38%       13
23:? LVEN        58.40     -0.34%     1.1K
24:? BOPL        76.50     -0.26%      492
25:? CTC      1,827.75     +0.05%      967
26:? UAL         73.00     +0.14%     8.4K
27:? DIPD        58.00     +0.17%    85.8K
28:? HAPU        57.60     +0.17%      100
29:? HASU       141.00     +0.18%     1.6K
30:? HOPL        56.00     +0.18%      127
31:? LIOC       138.75     +0.36%    31.6K
32:? MSL        196.00     +0.38%      520
33:? CTHR       580.00     +0.39%      435
34:? KFP        170.00     +0.44%     5.2K
35:? TYRE        89.00     +0.45%      943
36:? ALLI       347.00     +0.51%      731
37:? CABO       219.75     +0.57%        3
38:? YORK        16.00     +0.63%    66.6K
39:? JFP         15.60     +0.65%     1.1K
40:? CALH        15.20     +0.66%     8.3K
41:? LGL         58.10     +0.69%    52.1K
42:? JETS        14.10     +0.71%   336.9K
43:? HPFL        14.10     +0.71%     2.5K
44:? SEYB       104.50     +0.72%     9.4K
45:? RAL         13.40     +0.75%   299.2K
46:? PMB         12.60     +0.80%       11
47:? WATA        48.90     +0.82%    71.9K
48:? MASK        72.00     +0.84%     1.2K
49:? CARE        48.00     +0.84%      420
50:? NEH      4,570.00     +0.84%        9
51:? CARG       690.00     +0.88%      161
52:? LUMX        11.00     +0.92%     7.6K
53:? MELS       188.00     +0.94%     1.8K
54:? LHCL       106.75     +0.95%     1.2K
55:? SINH        20.10     +1.01%     6.5K
56:? UML         29.00     +1.05%   249.0K
57:? AMF         55.80     +1.09%      560
58:? LPL          9.30     +1.09%      450
59:? HNBF         9.20     +1.10%   201.7K
60:? LGIL         8.40     +1.20%     3.9K
61:? HDFC        75.00     +1.21%    59.2K
62:? HNBF         8.30     +1.22%    11.3K
63:? SHOT        16.50     +1.23%     3.0K
64:? PKME       160.00     +1.27%     9.5K
65:? HAYL       237.75     +1.28%     8.6K
66:? TAFL       628.00     +1.29%     9.4K
67:? AHUN        93.00     +1.31%    11.1K
68:? VPEL        15.30     +1.32%    95.3K
69:? SERV        15.20     +1.33%    62.6K
70:? SAMP       145.00     +1.40%   157.3K
71:? EMER        14.30     +1.42%    65.1K
72:? COMB       206.00     +1.48%    52.8K
73:? WLTH        13.50     +1.50%    59.1K
74:? RCL         46.90     +1.52%    20.0K
75:? CRL          6.70     +1.52%   527.0K
76:? MBSL        13.30     +1.53%   112.3K
77:? VFIN        92.90     +1.53%     6.7K
78:? TPL        149.00     +1.53%      789
79:? LDEV        19.80     +1.54%     3.4K
80:? UBC         13.10     +1.55%     5.4K
81:? HNB        406.50     +1.56%     6.3K
82:? SHOT        12.90     +1.57%      507
83:? FCT         31.90     +1.59%    12.7K
84:? TJL         31.80     +1.60%    64.9K
85:? ACL        100.00     +1.63%    31.1K
86:? BIL          6.20     +1.64%   352.3K
87:? CHL         61.90     +1.64%     1.1K
88:? ETWO        68.00     +1.64%      950
89:? LHL         72.50     +1.68%      463
90:? MFPE        18.00     +1.69%    85.8K
91:? AUTO       355.00     +1.72%        1
92:? MARA         5.90     +1.72%    31.2K
93:? COMB       190.25     +1.74%    19.7K
94:? CERA       189.25     +1.75%      302
95:? PLC         22.50     +1.81%   608.2K
96:? ASHO     2,800.00     +1.82%      448
97:? RICH        33.00     +1.85%     3.4K
98:? UDPL       161.25     +1.90%       50
