Changed stocks found: 254
Chunks: 3

--- Chunk 1/3 (3997 chars, 93 stocks) ---
? *CSE Live Movements* ? 2026-05-25 10:51 IST (1/3)

```
Ticker        Price     Change      Vol
????????????????????????????????????????
? LCEY        38.50     -8.33%    10.2K
? HBS         24.70     -6.79%   424.9K
? TSML        41.10     -2.14%      176
? BALA        60.00     -1.64%    20.3K
? HUNT     1,540.00     -1.58%        8
? SOY      2,403.00     -1.53%      152
? REXP       408.75     -1.39%      851
? CARE        47.00     -1.26%     6.2K
? CHMX       165.00     -0.90%    14.1K
? MCPL        52.00     -0.76%     1.0K
? CALC        13.20     -0.75%       15
? ETWO        66.50     -0.60%     2.5K
? RPBH        52.80     -0.38%       13
? LVEN        58.40     -0.34%     1.2K
? BOPL        76.50     -0.26%      492
? TYRE        88.50     -0.11%     1.2K
? CTC      1,827.75     +0.05%     1.3K
? CARG       685.00     +0.15%      481
? HAPU        57.60     +0.17%      100
? HOPL        56.00     +0.18%     1.1K
? LIOC       138.50     +0.18%    35.6K
? BOGA       130.25     +0.19%     4.2K
? RICH        32.50     +0.31%     4.6K
? HASU       141.25     +0.36%   106.6K
? PABC        54.20     +0.37%    25.4K
? CTHR       580.00     +0.39%      435
? HEXP       127.00     +0.40%     5.6K
? COCO        25.40     +0.40%     7.7K
? ATLL        25.00     +0.40%      591
? LWL         48.00     +0.42%      535
? KFP        170.00     +0.44%    13.0K
? ALLI       347.00     +0.51%      879
? DIST        56.50     +0.53%    15.0K
? AGPL        17.60     +0.57%    13.6K
? CABO       219.75     +0.57%        3
? ECL         16.30     +0.62%     2.5K
? CALH        15.20     +0.66%    78.0K
? VPEL        15.20     +0.66%   141.6K
? MELS       187.50     +0.67%     4.7K
? HPFL        14.10     +0.71%     2.5K
? SEYB       104.50     +0.72%     9.7K
? PMB         12.60     +0.80%     1.0K
? WATA        48.90     +0.82%    82.8K
? NEH      4,570.00     +0.84%        9
? DIPD        58.40     +0.86%   106.0K
? LUMX        11.00     +0.92%    15.7K
? TJL         31.60     +0.96%    68.4K
? LPL          9.30     +1.09%      450
? ABL         27.50     +1.10%    28.5K
? MASK        72.20     +1.12%     1.7K
? CFIN       235.00     +1.18%    61.5K
? HNB        405.00     +1.19%     9.8K
? CBNK         8.50     +1.19%    51.3K
? HDFC        75.00     +1.21%    63.2K
? HNBF         8.30     +1.22%    22.8K
? SHOT        16.50     +1.23%     3.1K
? GHLL        16.20     +1.25%      800
? SDF         40.50     +1.25%    20.1K
? YORK        16.10     +1.26%   155.6K
? PKME       160.00     +1.27%    14.8K
? HAYL       237.75     +1.28%    16.1K
? AHUN        93.00     +1.31%    11.2K
? LFIN       166.00     +1.37%    17.3K
? SAMP       145.00     +1.40%   192.9K
? ABAN     1,130.00     +1.44%       33
? AMF         56.00     +1.45%     5.4K
? COMB       206.00     +1.48%   108.8K
? PACK        13.70     +1.48%    43.2K
? CSLK        13.60     +1.49%   105.8K
? RAL         13.50     +1.50%   635.8K
? RCL         46.90     +1.52%    21.0K
? CRL          6.70     +1.52%   655.9K
? VFIN        92.90     +1.53%    11.4K
? LDEV        19.80     +1.54%     3.4K
? SHOT        12.90     +1.57%      507
? FCT         31.90     +1.59%    12.9K
? MGT         31.70     +1.60%    72.3K
? VONE        99.50     +1.63%     7.4K
? CHL         61.90     +1.64%     1.8K
? LHL         72.50     +1.68%      463
? MFPE        18.00     +1.69%   134.6K
? ODEL        12.00     +1.69%     8.7K
? AUTO       355.00     +1.72%        1
? SIRA        29.50     +1.72%   580.4K
? LPL         11.60     +1.75%      832
? HAYC       142.50     +1.79%    52.9K
? COCR       123.00     +1.86%    37.6K
? UDPL       161.25     +1.90%       50
? LLUB       198.50     +1.93%     3.2K
? CALT        52.50     +1.94%     9.7K
? GREG        40.80     +2.00%     1.0K
? JKH         20.40     +2.00%   513.1K
? HPWR        10.00     +2.04%    61.5K
????????????????????????????????????????
Showing 93 changed stocks | Sorted: Ascending
```
_Unchanged stocks hidden | Next update in 5 min_

--- Chunk 2/3 (3997 chars, 93 stocks) ---
? *CSE Live Movements* ? 2026-05-25 10:51 IST (2/3)

```
Ticker        Price     Change      Vol
????????????????????????????????????????
? BUKI       895.00     +2.05%      175
? COMD       318.50     +2.08%      527
? LHCL       108.00     +2.13%    20.1K
? VLL         23.90     +2.14%    10.7K
? KOTA         9.50     +2.15%   121.0K
? LALU        47.00     +2.17%    31.2K
? PAP         18.80     +2.17%    36.5K
? HNBF         9.30     +2.20%   305.2K
? VLL         18.60     +2.20%     1.1K
? TPL        150.00     +2.21%      884
? WIND        46.00     +2.22%    35.5K
? NDB        113.50     +2.25%    52.8K
? LGL         59.00     +2.25%    59.8K
? NTB        317.00     +2.26%     2.6K
? CTEA     1,513.00     +2.28%       25
? DFCC       134.00     +2.29%    23.4K
? CDB         44.00     +2.33%    12.3K
? JXG         13.20     +2.33%     1.5M
? ALUM        17.50     +2.34%   141.1K
? AGAL        55.90     +2.38%    22.7K
? ACL        100.75     +2.39%    67.3K
? DPL         17.10     +2.40%     5.8K
? TAP         34.00     +2.41%    35.6K
? OSEA        51.00     +2.41%    98.4K
? TAFL       635.00     +2.42%     9.8K
? SPEN       137.00     +2.43%     4.3K
? UML         29.40     +2.44%   466.9K
? TILE        46.00     +2.45%     8.2K
? CFVF        54.10     +2.46%    13.6K
? CINS     3,100.00     +2.46%     1.0K
