
--- Chunk 1/3 (3997 chars, 93 stocks) ---
📊 *CSE Live Movements* — 2026-05-24 22:57 IST (1/3)

```
Ticker        Price     Change      Vol
────────────────────────────────────────
🔴 ASPH         0.50    -16.67%     1.8M
🔴 BRR         18.70    -11.37%      801
🔴 SLND     3,034.00     -7.91%      171
🔴 PARA       700.00     -6.88%      227
🔴 UCAR     2,865.75     -5.82%      384
🔴 CHOT        31.50     -5.69%    26.4K
🔴 COLO        41.20     -5.29%    24.3K
🔴 VLL         18.20     -4.71%    59.6K
🔴 AFS         31.60     -4.53%    43.2K
🔴 ASIR        37.00     -4.15%   375.3K
🔴 MAL         38.40     -4.00%     2.1K
🔴 CSD         26.80     -3.94%    12.3K
🔴 SIL        461.00     -3.86%      165
🔴 KAHA        18.10     -3.72%    97.3K
🔴 CITH         5.20     -3.70%   521.5K
🔴 LPL         11.40     -3.39%   220.1K
🔴 AMSL        18.90     -3.08%    74.1K
🔴 BPPL        19.10     -3.05%    27.4K
🔴 UBC         12.90     -3.01%    37.9K
🔴 CALF       145.50     -3.00%      311
🔴 CONN        29.00     -2.68%     3.2K
🔴 PLC         22.10     -2.64%   121.7K
🔴 PEG         37.00     -2.63%      694
🔴 SINS        71.10     -2.60%   383.5K
🔴 RWSL        19.20     -2.54%    21.1K
🔴 CARE        47.60     -2.46%      974
🔴 BUKI       877.00     -2.20%      107
🔴 GREG        40.00     -2.20%    25.3K
🔴 MHDL         9.30     -2.11%    41.4K
🔴 UML         28.70     -2.05%   202.0K
🔴 CWM         40.00     -1.96%    32.8K
🔴 DIMO     1,355.00     -1.94%      591
🔴 GLAS        52.20     -1.88%    39.5K
🔴 CFVF        52.80     -1.86%   102.5K
🔴 CDB         32.00     -1.84%   618.4K
🔴 SHOT        16.30     -1.81%    11.4K
🔴 PARQ        75.70     -1.69%    51.4K
🔴 ONAL        46.70     -1.68%      210
🔴 HPL         25.60     -1.54%     7.7K
🔴 LCBF         7.00     -1.41%     1.3M
🔴 TKYO        69.00     -1.29%   168.8K
🔴 SDF         40.00     -1.23%    25.8K
🔴 RIL         25.00     -1.19%   992.9K
🔴 CBNK         8.40     -1.18%   367.0K
🔴 CIT        420.25     -1.18%      270
🔴 COCO        25.30     -1.17%    14.0K
🔴 ABAN     1,114.00     -1.11%      237
🔴 ABL         27.20     -1.09%    49.7K
🔴 HPWR         9.80     -1.01%    98.2K
🔴 CDB         43.00     -0.92%    22.7K
🔴 TAP         33.20     -0.90%    54.0K
🔴 EBCR        47.20     -0.84%    36.6K
🔴 BRWN       153.75     -0.81%    37.7K
🔴 PMB         12.50     -0.79%    33.5K
🔴 RGEM       156.75     -0.79%     1.2K
🔴 PHAR       157.00     -0.79%    11.5K
🔴 CTLD        38.30     -0.78%      800
🔴 EXT         12.90     -0.77%    25.9K
🔴 ASIY        13.00     -0.76%   301.1K
🔴 NTB        310.00     -0.72%    53.7K
🔴 CLND        56.00     -0.71%    49.6K
🔴 KHC         15.00     -0.66%    12.4K
🔴 DPL         16.70     -0.60%    17.1K
🔴 CINS     1,500.50     -0.56%    10.1K
🔴 VFIN        91.50     -0.54%    89.1K
🔴 LVEN        58.60     -0.51%      893
🔴 CPRT        41.50     -0.48%   217.4K
🔴 CINV       105.50     -0.47%     4.7K
🔴 CFLB        67.00     -0.45%     5.4K
🔴 TILE        44.90     -0.44%    33.5K
🔴 BALA        61.00     -0.33%     1.0K
🔴 TAJ         33.00     -0.30%      588
🔴 JAT         38.90     -0.26%    92.9K
🔴 COMB       203.00     -0.25%   168.2K
🔴 SDB         52.70     -0.19%    32.1K
🔴 AHPL        52.90     -0.19%      876
🔴 CARG       684.00     -0.18%     1.9K
🔴 ASHO     2,750.00     -0.17%      442
🔴 KFP        169.25     -0.15%      130
🔴 SLTL        83.10     -0.12%    12.0K
🔴 CABO       218.50     -0.11%    55.7K
🔴 AHUN        91.80     -0.11%   102.2K
🔴 CFIN       232.25     -0.11%    31.6K
🟢 HNB        400.25     +0.06%    73.9K
🟢 TAFL       620.00     +0.08%     1.3K
🟢 AEL         75.00     +0.13%   265.2K
🟢 PABC        54.00     +0.19%   306.3K
🟢 CHL         48.70     +0.21%     1.1K
🟢 SEYB       103.75     +0.24%     2.5K
🟢 ELPL       184.00     +0.27%     1.5K
🟢 BFN         35.10     +0.29%      159
🟢 CTC      1,826.75     +0.29%      993
🟢 CTHR       577.75     +0.35%      132
────────────────────────────────────────
Showing 93 changed stocks | Sorted: Ascending
```
_Unchanged stocks hidden | Next update in 5 min_

--- Chunk 2/3 (3997 chars, 93 stocks) ---
📊 *CSE Live Movements* — 2026-05-24 22:57 IST (2/3)

```
Ticker        Price     Change      Vol
────────────────────────────────────────
🟢 LGL         57.70     +0.35%    37.2K
🟢 HNB        325.75     +0.39%   135.3K
🟢 CALT        51.50     +0.39%    19.8K
🟢 ATLL        24.90     +0.40%      744
🟢 ACL         98.40     +0.41%   401.4K
🟢 COCR       120.75     +0.42%    45.0K
🟢 RCL         46.20     +0.43%   172.3K
🟢 PKME       158.00     +0.48%    43.7K
🟢 LLUB       194.75     +0.52%   151.3K
🟢 EAST        58.00     +0.52%    67.5K
🟢 LIOC       138.25     +0.55%    36.0K
🟢 SPEN       133.75     +0.56%     1.5K
🟢 RHL         52.00     +0.58%    12.3K
🟢 CHMX       166.50     +0.60%     2.0K
🟢 SFIN        49.30     +0.61%    60.4K
🟢 GEST       322.00     +0.62%     1.7K
🟢 GHLL        16.00     +0.63%    17.1K
🟢 GUAR       230.00     +0.66%     9.5K
🟢 VPEL        15.10     +0.67%    28.9K
🟢 CIND       221.50     +0.68%    20.4K
🟢 AAF         57.50     +0.70%    12.5K
🟢 MERC        28.60     +0.70%    63.3K
🟢 SAMP       143.00     +0.70%   580.6K
🟢 EMER        14.10     +0.71%    48.1K
🟢 LHCL       105.75     +0.71%    23.9K
🟢 DFCC       131.00     +0.77%    41.2K
🟢 BOGA       130.00     +0.78%    12.4K
🟢 DIAL        37.30     +0.81%     1.3M
🟢 KGAL       154.75     +0.81%      483
🟢 REXP       414.50     +0.85%    13.0K
🟢 CTBL        11.40     +0.88%     4.6K
🟢 JINS        45.10     +0.89%    40.7K
🟢 AAIC        88.80     +0.91%   141.2K
🟢 APLA       138.50     +0.91%    14.7K
🟢 EDEN        11.00     +0.92%   130.8K
🟢 AGAL        54.60     +0.92%    16.1K
🟢 MELS       186.25     +0.95%   263.5K
🟢 COMD       312.00     +0.97%      403
🟢 JKH         20.00     +1.01%    11.3M
🟢 ASCO        49.50     +1.02%   313.4K
🟢 TYRE        88.60     +1.03%    11.1K
🟢 SIRA        29.00     +1.05%   168.2K
🟢 ETWO        66.90     +1.06%     1.8K
🟢 KOTA         9.30     +1.09%   421.5K
🟢 AGPL        17.50     +1.16%    13.4K
🟢 STAF        43.60     +1.16%      948
🟢 CCS        125.00     +1.21%    53.8K
🟢 HNBF         8.20     +1.23%    22.9K
🟢 HASU       140.75     +1.26%    34.1K
🟢 YORK        15.90     +1.27%   124.1K
🟢 FCT         31.40     +1.29%    20.9K
🟢 GRAN       444.75     +1.31%     5.7K
🟢 PLR         45.70     +1.33%   451.3K
🟢 SERV        15.00     +1.35%    26.0K
🟢 COMB       187.00     +1.36%    14.7K
🟢 CERA       186.00     +1.36%     4.9K
🟢 PINS        28.50     +1.42%     2.5K
🟢 LMF         89.10     +1.48%   492.3K
🟢 CHL         60.90     +1.50%     1.2K
🟢 PACK        13.50     +1.50%    64.6K
🟢 RAL         13.30     +1.53%     1.6M
🟢 ALLI       345.25     +1.54%     1.6K
🟢 CIC         25.30     +1.61%   603.4K
🟢 BIL          6.10     +1.67%     1.4M
🟢 HVA          6.00     +1.69%   222.3K
🟢 TSML        42.00     +1.69%     4.1K
🟢 LOLC       550.00     +1.71%    12.9K
🟢 MARA         5.80     +1.75%     5.6K
🟢 MAL         57.80     +1.76%      100
🟢 OSEA        49.80     +1.84%   646.4K
🟢 LUMX        10.90     +1.87%   206.3K
🟢 SFCL       409.25     +1.93%      531
🟢 SEYB        68.60     +1.93%    66.2K
🟢 JFP         15.50     +1.97%    47.3K
🟢 LALU        46.00     +2.00%    11.5K
🟢 DIST        56.20     +2.00%    18.5K
🟢 HOPL        55.90     +2.01%     4.1K
🟢 HEXP       126.50     +2.02%    66.4K
🟢 WATA        48.50     +2.11%   384.8K
🟢 WAPO        24.00     +2.13%    36.4K
🟢 LITE        43.00     +2.14%    10.3K
🟢 JKL         80.00     +2.17%      210
🟢 HDFC        74.10     +2.21%   124.9K
🟢 LPL          9.20     +2.22%     7.0K
🟢 HNBF         9.10     +2.25%   148.8K
🟢 VONE        97.90     +2.30%    21.5K
🟢 RHL         38.90     +2.37%      122
🟢 HUNA        16.90     +2.42%     2.6K
🟢 TPL        146.75     +2.44%     2.2K
🟢 SHAW       283.00     +2.44%     3.0K
🟢 LGIL         8.30     +2.47%    88.2K
🟢 NAMU        72.00     +2.86%    16.2K
🟢 NHL         14.10     +2.92%   133.0K
────────────────────────────────────────
Showing 93 changed stocks | Sorted: Ascending
```
_Unchanged stocks hidden | Next update in 5 min_

--- Chunk 3/3 (1637 chars, 34 stocks) ---
📊 *CSE Live Movements* — 2026-05-24 22:57 IST (3/3)

```
Ticker        Price     Change      Vol
────────────────────────────────────────
🟢 HPFL        14.00     +2.94%     2.7K
🟢 UAL         72.90     +3.11%     5.2K
🟢 LCEY        42.00     +3.19%     1.3K
🟢 MGT         31.20     +3.31%     4.3M
🟢 MEL          6.20     +3.33%    41.7K
🟢 CARS       775.50     +3.37%     1.4K
🟢 LWL         47.80     +3.46%     7.9K
🟢 LFIN       163.75     +3.48%    94.5K
🟢 MASK        71.40     +3.48%    13.3K
🟢 TRAN        50.20     +3.51%      125
🟢 HBS         26.50     +3.52%     1.0M
🟢 CSLK        13.40     +3.88%   302.6K
🟢 SCAP        13.30     +3.91%     1.2M
🟢 PAP         18.40     +3.95%   298.4K
🟢 MBSL        13.10     +3.97%    61.8K
🟢 TJL         31.30     +3.99%     1.2M
🟢 SHL         13.00     +4.00%     1.2M
🟢 VLL         23.40     +4.00%    50.6K
🟢 UDPL       158.25     +4.11%     4.5K
🟢 KPHL        22.40     +4.19%    74.3K
🟢 RICH        32.40     +4.52%    13.4K
🟢 LGL         43.90     +4.52%     4.8K
🟢 MFPE        17.70     +4.73%   450.3K
🟢 CRL          6.60     +4.76%     1.1M
🟢 MCPL        52.40     +5.01%    30.6K
🟢 AUTO       349.00     +5.36%      791
🟢 LDEV        19.50     +5.41%     6.7K
🟢 BOPL        76.70     +5.65%      170
🟢 MRH         16.70     +6.37%     4.1K
🟢 AMF         55.20     +7.60%    17.9K
